交流Q群,#genre#
TVB 功夫,http://ali.hlspull.yximgs.com/live/165b03b2bfe18e07d716753a3e3a711a.flv
TVB 娱乐新闻台,http://ali.hlspull.yximgs.com/live/0daf59f4e09d5dba7aaecd8e43205432.flv
J2,http://ali.hlspull.yximgs.com/live/36daba46a94a51835566411c726bbeb5.flv
TVB 明珠台,http://ali.hlspull.yximgs.com/live/c8f41a871172033bd71fda8d73874c1b.flv
TVB 华语剧台,http://ali.hlspull.yximgs.com/live/d7978140b9085318c09f8ee566462458.flv
澳门莲花,http://ali.hlspull.yximgs.com/live/e4bdf2ae340cf3d7b01b480831d9cd23.flv
天映经典,http://ali.hlspull.yximgs.com/live/5e7b05661de148c8e56037abbe20b8c6.flv
天映,http://ali.hlspull.yximgs.com/live/535efb059cacd6e0d48ae17dc2e12ad1.flv
香港卫视,http://ali.hlspull.yximgs.com/live/eea4320702064c7f98f83a0e980a5b91.flv
C18跑马,http://ali.hlspull.yximgs.com/live/16f8aabe784a7bc93a897810876cbbb2.flv
港台电视 32,http://ali.hlspull.yximgs.com/live/897f4a492c1a3e087ea5852a7870825f.flv
美亚电影国,http://ali.hlspull.yximgs.com/live/fb2c194853e5cb492df76b7a7a086bfd.flv
美亚电影粤,http://ali.hlspull.yximgs.com/live/77a02b833dffcdb67390ef964c947a77.flv
龍祥电影,http://ali.hlspull.yximgs.com/live/6367ad6b89c8af4194fa0094bf852a32.flv
AXN,http://ali.hlspull.yximgs.com/live/0d2d69190239cc7a1d83725bc0966b5e.flv
华艺综合,http://ali.hlspull.yximgs.com/live/a440ff67aa85c35c059f749042e73576.flv
生命台,http://ali.hlspull.yximgs.com/live/6e376974bd889792e917e3361292bebb.flv
霹雳台湾,http://ali.hlspull.yximgs.com/live/d3cf0965470fe94261cb52eba2aa83c7.flv
民視新聞台,http://ali.hlspull.yximgs.com/live/4955f9357faa87976a3c7d31b537d882.flv
