China=大陸_,#genre#
中視新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/164f084d72f99963ad313579936eb411/master.m3u8
中天新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/15f93e801354ec23261e3c21a4dfb1c6/master.m3u8
TVBS新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/c58d2adecef4a3367548a989d4ade391/master.m3u8
東森新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/e2f568162378c8866da7e75ad6cb3791/master.m3u8
環宇新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/8597f1a9e2f637e2b49356aa3aa69be0/master.m3u8
壹電視新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/2b625794a646ae54ebbcfe402d2550d0/master.m3u8
三立新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/d6674befb31257091c2a32801178cabe/master.m3u8
非凡新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/10f69dec4eb81a9b5b2b02a8febf1f79/master.m3u8
鏡新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/43ae0add70fd1bda16d0700282cd8d2d/master.m3u8
年代新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/aaddac84f4a4de6743d2eecfa4fdf525/master.m3u8
三立iNEWS,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/7721236535a265bed9a3e07ac8fe434b/master.m3u8
緯來電影,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/0dfc58e02766aeab4f2deb98614a67c2/master.m3u8
緯來體育,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/d46d67618250f159bb0370012511516a/master.m3u8
緯來戲劇,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/03b237499eda37b9a036a78bdb43ab0e/master.m3u8
緯來綜合,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/8f541992d2ac9b7a02e901e54509b86f/master.m3u8
緯來日本,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/4d0c7dd466d81c008bc821513eef9aa4/master.m3u8
緯來育樂,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/90530eaf17e69e10436ed1ed97d1aeae/master.m3u8
緯來精彩,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/b3479d4a522ea331721c97b80dcf4b8b/master.m3u8
東森戲劇,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/ab05768102083a6a20b606caf4e854d1/master.m3u8
東森綜合,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/6e024f20a05bbcbfec866e677990e94d/master.m3u8
東森超視,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/df3ad4c619b0002e6a005ffafd7b1eed/master.m3u8
東森電影,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/0a481496a73c48a77f919ea5478f7e74/master.m3u8
東森洋片,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/fb6f1cee9ad2b256e482dad9f73dfbea/master.m3u8
東森YOYO,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/50edcecf560a6895338330c71e52487f/master.m3u8
