Decoder=3
Host=http://45.205.24.2

央视,#genre#
安徽卫视,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000001000030159/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030159&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
安徽卫视 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/6000000001000009954/1.m3u8?channel-id=wasusyt&Contentid=6000000001000009954&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
安徽卫视 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265025/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265025&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
东南卫视,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/5000000004000010584/1.m3u8?channel-id=bestzb&Contentid=5000000004000010584&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
东南卫视 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265033/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265033&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
甘肃卫视,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/5000000011000031121/1.m3u8?channel-id=bestzb&Contentid=5000000011000031121&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
广东卫视,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000001000014176/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
广东卫视 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/6000000001000031076/1.m3u8?channel-id=wasusyt&Contentid=6000000001000031076&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
广东卫视 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265034/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265034&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
广西卫视,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/5000000011000031118/1.m3u8?channel-id=bestzb&Contentid=5000000011000031118&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
