央视ITV,#genre#
湖南卫视,http://111.29.9.33:6610/000000001000/0/6000000001000018044.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000018044$华数8M
湖南卫视,http://111.29.9.33:6610/000000001000/1/1000000001000032695.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000032695$易视腾8M
湖南卫视,http://111.29.9.33:6610/000000001000/1/1000000005000265024.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265024$易视腾HEVC
湖南卫视,http://111.29.9.33:6610/000000001000/1/5000000010000030452.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000030452$百视通4M
湖南卫视,http://111.29.9.33:6610/000000001000/1/1000000001000009115.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000009115$易视腾4M
江苏卫视,http://111.29.9.33:6610/000000001000/0/6000000001000014861.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000014861$华数8M
江苏卫视,http://111.29.9.33:6610/000000001000/1/1000000001000001828.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000001828$易视腾8M
江苏卫视,http://111.29.9.33:6610/000000001000/1/5000000004000019351.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000019351$百视通7.5M
江苏卫视,http://111.29.9.33:6610/000000001000/1/1000000005000265030.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265030$易视腾HEVC
江苏卫视,http://111.29.9.33:6610/000000001000/1/5000000010000018509.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000018509$百视通4M
江苏卫视,http://111.29.9.33:6610/000000001000/1/1000000001000004684.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000004684$易视腾4M
浙江卫视,http://111.29.9.33:6610/000000001000/1/5000000004000007275.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000007275$百视通8M
浙江卫视,http://111.29.9.33:6610/000000001000/0/6000000001000032070.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000032070$华数8M
浙江卫视,http://111.29.9.33:6610/000000001000/1/1000000001000014260.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000014260$易视腾8M
浙江卫视,http://111.29.9.33:6610/000000001000/1/1000000005000265031.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265031$易视腾HEVC
浙江卫视,http://111.29.9.33:6610/000000001000/1/5000000010000017320.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000017320$百视通4M
浙江卫视,http://111.29.9.33:6610/000000001000/1/1000000001000009806.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000009806$易视腾4M
东方卫视,http://111.29.9.33:6610/000000001000/1/5000000004000014098.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000014098$百视通8M
东方卫视,http://111.29.9.33:6610/000000001000/1/5000000011000031205.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031205$百视通8M
东方卫视,http://111.29.9.33:6610/000000001000/1/2000000002000000066.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000066$湖南bblive
东方卫视,http://111.29.9.33:6610/000000001000/0/6000000001000003639.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000003639$华数8M
东方卫视,http://111.29.9.33:6610/000000001000/1/1000000001000005866.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000005866$易视腾8M
东方卫视,http://111.29.9.33:6610/000000001000/1/1000000005000265018.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265018$易视腾HEVC
东方卫视,http://111.29.9.33:6610/000000001000/1/5000000010000032246.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000032246$百视通4M
东方卫视,http://111.29.9.33:6610/000000001000/1/1000000001000030202.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000030202$易视腾4M
东方卫视,http://111.29.9.33:6610/000000001000/1/2000000002000000054.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000054$湖南bblive
东方卫视,http://111.29.9.33:6610/000000001000/1/2000000002000000056.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000056$湖南bblive
东方影视,http://111.29.9.33:6610/000000001000/1/5000000010000032212.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000032212$百视通4M
东方影视,http://111.29.9.33:6610/000000001000/1/2000000002000000013.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000013$湖南bblive

